waveform	V_in	V_out
t0	4/22/2022  09:49:08,307853	4/22/2022  09:49:08,307864
delta t	0,000250	0,000250

time	V_in	V_out
4/22/2022  09:49:08,387103	-2,494711E+0	-1,972462E-3
4/22/2022  09:49:08,387353	-2,497929E+0	-3,903575E-3
4/22/2022  09:49:08,387603	-2,494711E+0	-2,294314E-3
4/22/2022  09:49:08,387853	-2,495033E+0	-3,259870E-3
4/22/2022  09:49:08,388103	-2,494711E+0	-1,650609E-3
4/22/2022  09:49:08,388353	-2,494067E+0	-2,294314E-3
4/22/2022  09:49:08,388603	-2,495033E+0	-2,938018E-3
4/22/2022  09:49:08,388853	-2,493745E+0	-1,972462E-3
4/22/2022  09:49:08,389103	-2,494389E+0	-1,650609E-3
4/22/2022  09:49:08,389353	-2,494389E+0	-3,259870E-3
4/22/2022  09:49:08,389603	-2,495998E+0	-2,938018E-3
4/22/2022  09:49:08,389853	-2,493423E+0	-2,616166E-3
4/22/2022  09:49:08,390103	-2,493423E+0	-2,938018E-3
4/22/2022  09:49:08,390353	-2,496642E+0	-2,616166E-3
4/22/2022  09:49:08,390603	-2,494389E+0	-1,972462E-3
4/22/2022  09:49:08,390853	-2,494067E+0	-3,259870E-3
4/22/2022  09:49:08,391103	-2,491170E+0	-4,547279E-3
4/22/2022  09:49:08,391353	-2,493745E+0	-1,650609E-3
4/22/2022  09:49:08,391603	-2,492458E+0	-2,938018E-3
4/22/2022  09:49:08,391853	-2,494711E+0	-1,650609E-3
4/22/2022  09:49:08,392103	-2,495033E+0	-2,616166E-3
4/22/2022  09:49:08,392353	-2,495676E+0	-1,650609E-3
4/22/2022  09:49:08,392603	-2,493101E+0	-3,632007E-4
4/22/2022  09:49:08,392853	-2,495676E+0	2,805037E-4
4/22/2022  09:49:08,393103	-2,494389E+0	-2,938018E-3
4/22/2022  09:49:08,393353	-2,491814E+0	-2,294314E-3
4/22/2022  09:49:08,393603	-2,495033E+0	-6,850528E-4
4/22/2022  09:49:08,393853	-2,494711E+0	-1,328757E-3
4/22/2022  09:49:08,394103	-2,494067E+0	-2,616166E-3
4/22/2022  09:49:08,394353	-2,493423E+0	-1,650609E-3
4/22/2022  09:49:08,394603	-2,493745E+0	-2,616166E-3
4/22/2022  09:49:08,394853	-2,494711E+0	-3,259870E-3
4/22/2022  09:49:08,395103	-2,496320E+0	-3,632007E-4
4/22/2022  09:49:08,395353	-2,492136E+0	-1,650609E-3
4/22/2022  09:49:08,395603	-2,494067E+0	-2,616166E-3
4/22/2022  09:49:08,395853	-2,494067E+0	-1,650609E-3
4/22/2022  09:49:08,396103	-2,494389E+0	-1,972462E-3
4/22/2022  09:49:08,396353	-2,494711E+0	-6,850528E-4
4/22/2022  09:49:08,396603	-2,493101E+0	-2,616166E-3
4/22/2022  09:49:08,396853	-2,495354E+0	-1,650609E-3
4/22/2022  09:49:08,397103	-2,493745E+0	-1,972462E-3
4/22/2022  09:49:08,397353	-2,494389E+0	-2,294314E-3
4/22/2022  09:49:08,397603	-2,492458E+0	-4,225427E-3
4/22/2022  09:49:08,397853	-2,495354E+0	-2,294314E-3
4/22/2022  09:49:08,398103	-2,494389E+0	-2,616166E-3
4/22/2022  09:49:08,398353	-2,492136E+0	-2,938018E-3
4/22/2022  09:49:08,398603	-2,494711E+0	-3,259870E-3
4/22/2022  09:49:08,398853	-2,493101E+0	-2,294314E-3
4/22/2022  09:49:08,399103	-2,493423E+0	-1,972462E-3
4/22/2022  09:49:08,399353	-2,495033E+0	-1,650609E-3
4/22/2022  09:49:08,399603	-2,494067E+0	-3,632007E-4
4/22/2022  09:49:08,399853	-2,494711E+0	-1,650609E-3
4/22/2022  09:49:08,400103	-2,493423E+0	-3,259870E-3
4/22/2022  09:49:08,400353	-2,495033E+0	-1,650609E-3
4/22/2022  09:49:08,400603	-2,493745E+0	-3,903575E-3
4/22/2022  09:49:08,400853	-2,494711E+0	-1,006905E-3
4/22/2022  09:49:08,401103	-2,496320E+0	-6,850528E-4
4/22/2022  09:49:08,401353	-2,494389E+0	-1,328757E-3
4/22/2022  09:49:08,401603	-2,494389E+0	-1,006905E-3
4/22/2022  09:49:08,401853	-2,495354E+0	-1,972462E-3
4/22/2022  09:49:08,402103	-2,496320E+0	-1,972462E-3
4/22/2022  09:49:08,402353	-2,493423E+0	-1,972462E-3
4/22/2022  09:49:08,402603	-2,495676E+0	-1,972462E-3
4/22/2022  09:49:08,402853	-2,494067E+0	-1,972462E-3
4/22/2022  09:49:08,403103	-2,494711E+0	-6,850528E-4
4/22/2022  09:49:08,403353	-2,495676E+0	-5,190984E-3
4/22/2022  09:49:08,403603	-2,494067E+0	-2,294314E-3
4/22/2022  09:49:08,403853	-2,494067E+0	-2,616166E-3
4/22/2022  09:49:08,404103	-2,494711E+0	-1,328757E-3
4/22/2022  09:49:08,404353	-2,495354E+0	-1,328757E-3
4/22/2022  09:49:08,404603	-2,495354E+0	-1,650609E-3
4/22/2022  09:49:08,404853	-2,493101E+0	-1,972462E-3
4/22/2022  09:49:08,405103	-2,494389E+0	-1,972462E-3
4/22/2022  09:49:08,405353	-2,495676E+0	-3,259870E-3
4/22/2022  09:49:08,405603	-2,494711E+0	-1,328757E-3
4/22/2022  09:49:08,405853	-2,492136E+0	-1,328757E-3
4/22/2022  09:49:08,406103	-2,493745E+0	-3,259870E-3
4/22/2022  09:49:08,406353	-2,494711E+0	-2,616166E-3
4/22/2022  09:49:08,406603	-2,493745E+0	-2,294314E-3
4/22/2022  09:49:08,406853	-2,494389E+0	-3,259870E-3
4/22/2022  09:49:08,407103	-2,489883E+0	-3,632007E-4
4/22/2022  09:49:08,407353	2,449909E+0	3,958371E-1
4/22/2022  09:49:08,407603	2,514602E+0	3,150017E-2
4/22/2022  09:49:08,407853	2,518787E+0	5,751991E-3
4/22/2022  09:49:08,408103	2,520718E+0	3,499026E-3
4/22/2022  09:49:08,408353	2,520396E+0	1,889765E-3
4/22/2022  09:49:08,408603	2,521040E+0	6,023559E-4
4/22/2022  09:49:08,408853	2,522971E+0	4,142730E-3
4/22/2022  09:49:08,409103	2,521361E+0	2,855321E-3
4/22/2022  09:49:08,409353	2,523936E+0	2,211617E-3
4/22/2022  09:49:08,409603	2,521683E+0	2,211617E-3
4/22/2022  09:49:08,409853	2,524902E+0	2,533469E-3
